test_type,max,size,time
Random,150000000,150000000,5.202
Ascending,150000000,150000000,3.451
Descending,150000000,150000000,3.089
Semi-Random,150000000,150000000,3.34
Random-Max,150000000,150000000,5.016
Random-Min,10,150000000,2.062
Random,148500000,148500000,5.007
Ascending,148500000,148500000,3.32
Descending,148500000,148500000,3.044
Semi-Random,148500000,148500000,3.279
Random-Max,150000002,148500000,4.956
Random-Min,10,148500000,2.035
Random,147000000,147000000,4.967
Ascending,147000000,147000000,3.322
Descending,147000000,147000000,2.981
Semi-Random,147000000,147000000,3.249
Random-Max,150000004,147000000,4.927
Random-Min,10,147000000,2.015
Random,145500000,145500000,4.873
Ascending,145500000,145500000,3.297
Descending,145500000,145500000,2.976
Semi-Random,145500000,145500000,3.177
Random-Max,150000006,145500000,4.849
Random-Min,10,145500000,1.988
Random,144000000,144000000,4.793
Ascending,144000000,144000000,3.412
Descending,144000000,144000000,2.947
Semi-Random,144000000,144000000,3.191
Random-Max,150000008,144000000,4.741
Random-Min,10,144000000,2.008
Random,142500000,142500000,4.807
Ascending,142500000,142500000,3.484
Descending,142500000,142500000,2.888
Semi-Random,142500000,142500000,3.154
Random-Max,150000010,142500000,4.743
Random-Min,10,142500000,1.945
Random,141000000,141000000,4.637
Ascending,141000000,141000000,3.278
Descending,141000000,141000000,2.88
Semi-Random,141000000,141000000,3.12
Random-Max,150000012,141000000,4.6
Random-Min,10,141000000,1.945
Random,139500000,139500000,4.624
Ascending,139500000,139500000,3.05
Descending,139500000,139500000,2.857
Semi-Random,139500000,139500000,3.086
Random-Max,150000014,139500000,4.611
Random-Min,10,139500000,1.92
Random,138000000,138000000,4.487
Ascending,138000000,138000000,3.269
Descending,138000000,138000000,2.784
Semi-Random,138000000,138000000,3.021
Random-Max,150000016,138000000,4.554
Random-Min,10,138000000,1.898
Random,136500000,136500000,4.473
Ascending,136500000,136500000,3.053
Descending,136500000,136500000,2.799
Semi-Random,136500000,136500000,2.987
Random-Max,150000018,136500000,4.56
Random-Min,10,136500000,1.865
Random,135000000,135000000,4.461
Ascending,135000000,135000000,2.945
Descending,135000000,135000000,2.756
Semi-Random,135000000,135000000,2.937
Random-Max,150000020,135000000,4.455
Random-Min,10,135000000,1.85
Random,133500000,133500000,4.423
Ascending,133500000,133500000,3.128
Descending,133500000,133500000,2.712
Semi-Random,133500000,133500000,3.002
Random-Max,150000022,133500000,4.436
Random-Min,10,133500000,1.83
Random,132000000,132000000,4.399
Ascending,132000000,132000000,2.921
Descending,132000000,132000000,2.72
Semi-Random,132000000,132000000,2.904
Random-Max,150000024,132000000,4.372
Random-Min,10,132000000,1.803
Random,130500000,130500000,4.325
Ascending,130500000,130500000,2.902
Descending,130500000,130500000,2.698
Semi-Random,130500000,130500000,2.858
Random-Max,150000026,130500000,4.252
Random-Min,10,130500000,1.778
Random,129000000,129000000,4.277
Ascending,129000000,129000000,2.834
Descending,129000000,129000000,2.642
Semi-Random,129000000,129000000,2.855
Random-Max,150000028,129000000,4.401
Random-Min,10,129000000,1.779
Random,127500000,127500000,4.313
Ascending,127500000,127500000,2.918
Descending,127500000,127500000,2.65
Semi-Random,127500000,127500000,2.834
Random-Max,150000030,127500000,4.268
Random-Min,10,127500000,1.74
Random,126000000,126000000,4.229
Ascending,126000000,126000000,2.933
Descending,126000000,126000000,2.593
